term,freq,idf,logidf,tfidf,logtfidf
shall,177,139.0,4.93447393313,24603.0,873.401886164
unto,95,139.0,4.93447393313,13205.0,468.775023647
wit,144,69.5,4.24132675257,10008.0,610.75105237
ye,71,139.0,4.93447393313,9869.0,350.347649252
lord,175,55.6,4.01818320126,9730.0,703.182060221
you,128,75.8181818182,4.32833812956,9704.72727273,554.027280584
s,150,64.1538461538,4.1612840449,9623.07692307,624.192606735
god,290,32.0769230769,3.46813686434,9302.3076923,1005.75969066
ie,64,139.0,4.93447393313,8896.0,315.80633172
say,115,75.8181818182,4.32833812956,8719.09090909,497.758884899
sermon,56,139.0,4.93447393313,7784.0,276.330540255
hell,55,139.0,4.93447393313,7645.0,271.396066322
me,54,139.0,4.93447393313,7506.0,266.461592389
my,62,119.142857143,4.7803232533,7386.85714287,296.380041705
thou,53,139.0,4.93447393313,7367.0,261.527118456
we,93,75.8181818182,4.32833812956,7051.09090909,402.535446049
belov,50,139.0,4.93447393313,6950.0,246.723696657
sunday,50,139.0,4.93447393313,6950.0,246.723696657
outlin,50,139.0,4.93447393313,6950.0,246.723696657
