term,freq,idf,logidf,tfidf,logtfidf
s,199,64.1538461538,4.1612840449,12766.6153846,828.095524935
shall,89,139.0,4.93447393313,12371.0,439.168180049
unto,88,139.0,4.93447393313,12232.0,434.233706115
sermon,57,139.0,4.93447393313,7923.0,281.265014188
god,247,32.0769230769,3.46813686434,7922.99999999,856.629805492
thou,54,139.0,4.93447393313,7506.0,266.461592389
wit,107,69.5,4.24132675257,7436.5,453.821962525
lord,129,55.6,4.01818320126,7172.4,518.345632963
sin,51,139.0,4.93447393313,7089.0,251.65817059
fag,50,139.0,4.93447393313,6950.0,246.723696657
babylon,48,139.0,4.93447393313,6672.0,236.85474879
ie,45,139.0,4.93447393313,6255.0,222.051326991
say,82,75.8181818182,4.32833812956,6217.09090909,354.923726624
sunday,44,139.0,4.93447393313,6116.0,217.116853058
outlin,43,139.0,4.93447393313,5977.0,212.182379125
belov,42,139.0,4.93447393313,5838.0,207.247905191
etern,39,139.0,4.93447393313,5421.0,192.444483392
jer,38,139.0,4.93447393313,5282.0,187.510009459
cain,36,139.0,4.93447393313,5004.0,177.641061593
preach,36,139.0,4.93447393313,5004.0,177.641061593
