cocowindow,cvWindow,netAngle,svmAccuracy,svmMae,rfAccuracy,rfMae
5,6,30,0.858490566,0.4464113401,0.8962264151,0.3641509434
5,5,30,0.858490566,0.4489911931,0.9150943396,0.3490566038
6,6,30,0.8490566038,0.4509745742,0.8962264151,0.3433962264
6,3,45,0.8490566038,0.4514366841,0.9150943396,0.3351415094
6,6,45,0.8490566038,0.4519361739,0.9056603774,0.3397012579
6,5,30,0.8490566038,0.4529754947,0.9150943396,0.3479869059
6,4,30,0.8490566038,0.4539852124,0.9150943396,0.3349056604
5,4,30,0.8490566038,0.4549299327,0.8962264151,0.3471698113
6,3,30,0.8490566038,0.4559178195,0.9056603774,0.329245283
6,4,45,0.8490566038,0.4566730135,0.9150943396,0.3349842767
6,5,45,0.8490566038,0.4575983816,0.9245283019,0.3274371069
6,2,45,0.8490566038,0.4587783722,0.9056603774,0.354009434
5,3,30,0.8490566038,0.4593999719,0.9056603774,0.3188679245
6,2,30,0.8490566038,0.4599552414,0.9150943396,0.3311320755
6,2,60,0.8490566038,0.4604151515,0.9056603774,0.35
5,6,45,0.858490566,0.4624979327,0.8962264151,0.3580913903
5,4,45,0.8490566038,0.4631413731,0.8962264151,0.3644023858
6,3,60,0.8490566038,0.4632247407,0.8962264151,0.3386792453
5,5,45,0.8490566038,0.4645131797,0.9056603774,0.3587420084
5,3,45,0.8490566038,0.4660032091,0.9056603774,0.3474212537
6,4,60,0.858490566,0.4668592036,0.9150943396,0.3424528302
5,2,30,0.8490566038,0.4669031948,0.9150943396,0.329245283
6,6,60,0.858490566,0.468424537,0.8962264151,0.3507861635
4,6,30,0.8490566038,0.4686957658,0.8962264151,0.3509433962
6,5,60,0.858490566,0.4698710959,0.9150943396,0.3356918239
4,4,30,0.858490566,0.4702348674,0.8962264151,0.3358490566
5,2,45,0.8490566038,0.4703000605,0.9056603774,0.3332703103
4,5,30,0.858490566,0.4707589034,0.9056603774,0.3396226415
4,3,30,0.858490566,0.4740023892,0.9056603774,0.3255578512
5,3,60,0.858490566,0.4746544772,0.8962264151,0.358490566
5,4,60,0.8490566038,0.4758751426,0.8962264151,0.3660377358
4,2,30,0.8679245283,0.4776829537,0.8962264151,0.3216981132
5,6,60,0.858490566,0.4787584358,0.8962264151,0.3616135329
5,5,60,0.858490566,0.4793668774,0.9056603774,0.3556603774
2,6,30,0.8490566038,0.4815576478,0.9150943396,0.3411106547
5,2,60,0.858490566,0.4818169135,0.8962264151,0.3424528302
2,4,30,0.8490566038,0.4820452432,0.9056603774,0.350544617
4,3,45,0.858490566,0.4826509999,0.9056603774,0.3379639015
2,5,30,0.8490566038,0.4839629081,0.9056603774,0.3477144283
2,3,30,0.8490566038,0.4844164065,0.9150943396,0.3566037736
2,6,75,0.858490566,0.485218631,0.9150943396,0.3226415094
4,4,45,0.858490566,0.4854934035,0.9150943396,0.3301886792
2,5,75,0.858490566,0.4865902101,0.9150943396,0.3311320755
2,4,60,0.8490566038,0.4869074121,0.9056603774,0.3311320755
2,4,75,0.858490566,0.4874597082,0.9056603774,0.3301886792
3,3,30,0.858490566,0.4878743397,0.9150943396,0.3226415094
3,4,30,0.858490566,0.4891547472,0.9150943396,0.3216981132
4,2,45,0.858490566,0.4895094623,0.9056603774,0.3226415094
3,2,30,0.8679245283,0.4902040976,0.9150943396,0.3179245283
2,6,60,0.8396226415,0.4902673999,0.9056603774,0.3283018868
4,5,45,0.858490566,0.4907674501,0.9150943396,0.3283018868
2,5,60,0.8490566038,0.4908786323,0.9056603774,0.3330188679
3,6,30,0.858490566,0.4913743238,0.9150943396,0.3254716981
2,3,75,0.858490566,0.4917712129,0.9150943396,0.3235849057
3,4,45,0.8490566038,0.4925539345,0.9150943396,0.3226415094
3,5,30,0.858490566,0.4930981476,0.9056603774,0.329245283
4,6,45,0.858490566,0.4931072529,0.9056603774,0.3405660377
2,4,45,0.858490566,0.4934919351,0.9150943396,0.3443396226
2,3,60,0.8490566038,0.4938358985,0.9056603774,0.3226415094
4,3,60,0.858490566,0.4940784046,0.9056603774,0.3490566038
3,6,45,0.8490566038,0.4943528201,0.9056603774,0.3273584906
3,3,45,0.8490566038,0.4943582832,0.9150943396,0.3254716981
3,5,45,0.8490566038,0.4956913384,0.9056603774,0.3301886792
2,6,45,0.858490566,0.4968733715,0.9150943396,0.3377358491
2,5,45,0.858490566,0.4971473661,0.9056603774,0.3433962264
2,2,30,0.8490566038,0.4984796222,0.9150943396,0.3235849057
3,2,45,0.8490566038,0.5002738701,0.9150943396,0.3169811321
4,4,60,0.8490566038,0.50038661,0.9150943396,0.3443396226
2,3,45,0.8490566038,0.5012046802,0.9150943396,0.3273584906
4,6,60,0.858490566,0.5012840122,0.8962264151,0.361825797
4,5,60,0.858490566,0.5020053363,0.9150943396,0.3481132075
2,2,75,0.8679245283,0.5023219361,0.9245283019,0.308490566
3,6,60,0.8301886792,0.5024344043,0.9056603774,0.3358490566
2,2,60,0.8490566038,0.5025559676,0.9150943396,0.3132075472
3,4,60,0.8396226415,0.5037537725,0.9056603774,0.329245283
6,3,75,0.8396226415,0.5061619745,0.9150943396,0.3424528302
3,5,60,0.8396226415,0.5067170457,0.9056603774,0.3339622642
4,2,60,0.8490566038,0.5069413848,0.9150943396,0.3407783019
6,4,75,0.8490566038,0.5078288088,0.9150943396,0.3452830189
3,3,60,0.8396226415,0.5081317208,0.9150943396,0.3103773585
2,2,45,0.8396226415,0.5085660703,0.9150943396,0.3198113208
6,6,75,0.8490566038,0.5091299239,0.9056603774,0.3330188679
6,5,75,0.8490566038,0.5121566992,0.8962264151,0.3349056604
4,2,75,0.8396226415,0.5150351691,0.9150943396,0.3245283019
6,2,75,0.8490566038,0.5157894658,0.9150943396,0.3283018868
4,4,75,0.8396226415,0.5159324925,0.9150943396,0.3330188679
4,6,75,0.8396226415,0.5161405575,0.9056603774,0.3330188679
3,2,60,0.820754717,0.5171493545,0.9056603774,0.3122641509
5,2,75,0.8490566038,0.5182648963,0.9056603774,0.3264150943
4,5,75,0.8396226415,0.5191054153,0.9056603774,0.3311320755
4,3,75,0.8396226415,0.5204410997,0.9150943396,0.329245283
5,6,75,0.8490566038,0.5205315683,0.8962264151,0.3547169811
5,4,75,0.8490566038,0.523178129,0.8962264151,0.3622641509
5,5,75,0.8490566038,0.5236487321,0.8962264151,0.3594339623
5,3,75,0.858490566,0.5242236074,0.8962264151,0.3339622642
3,6,75,0.8396226415,0.5255991419,0.9150943396,0.3188679245
3,3,75,0.8490566038,0.5271013494,0.9150943396,0.3198113208
3,5,75,0.8490566038,0.5273171581,0.9056603774,0.3283018868
3,4,75,0.8490566038,0.5285859587,0.9056603774,0.3235849057
3,2,75,0.8490566038,0.5304880877,0.9150943396,0.3169811321
