,group,filepath,subgroup
0,DorothyDay,./data_dsicap/DorothyDay/raw/581.html.txt,test00
1,DorothyDay,./data_dsicap/DorothyDay/raw/370.html.txt,train45
2,DorothyDay,./data_dsicap/DorothyDay/raw/374.html.txt,train11
3,DorothyDay,./data_dsicap/DorothyDay/raw/220.html.txt,train30
4,DorothyDay,./data_dsicap/DorothyDay/raw/276.html.txt,train25
5,DorothyDay,./data_dsicap/DorothyDay/raw/429.html.txt,train29
6,DorothyDay,./data_dsicap/DorothyDay/raw/866.html.txt,train59
7,DorothyDay,./data_dsicap/DorothyDay/raw/464.html.txt,train17
8,DorothyDay,./data_dsicap/DorothyDay/raw/891.html.txt,train30
9,DorothyDay,./data_dsicap/DorothyDay/raw/515.html.txt,train55
10,DorothyDay,./data_dsicap/DorothyDay/raw/852.html.txt,train21
11,DorothyDay,./data_dsicap/DorothyDay/raw/676.html.txt,train40
12,DorothyDay,./data_dsicap/DorothyDay/raw/579.html.txt,train59
13,DorothyDay,./data_dsicap/DorothyDay/raw/270.html.txt,train38
14,DorothyDay,./data_dsicap/DorothyDay/raw/161.html.txt,train12
15,DorothyDay,./data_dsicap/DorothyDay/raw/694.html.txt,train66
16,DorothyDay,./data_dsicap/DorothyDay/raw/861.html.txt,train52
17,DorothyDay,./data_dsicap/DorothyDay/raw/596.html.txt,train34
18,DorothyDay,./data_dsicap/DorothyDay/raw/834.html.txt,train64
19,DorothyDay,./data_dsicap/DorothyDay/raw/454.html.txt,train57
20,DorothyDay,./data_dsicap/DorothyDay/raw/317.html.txt,train55
21,DorothyDay,./data_dsicap/DorothyDay/raw/283.html.txt,test05
22,DorothyDay,./data_dsicap/DorothyDay/raw/513.html.txt,test06
23,DorothyDay,./data_dsicap/DorothyDay/raw/902.html.txt,train11
24,DorothyDay,./data_dsicap/DorothyDay/raw/203.html.txt,train64
25,DorothyDay,./data_dsicap/DorothyDay/raw/15.html.txt,test05
26,DorothyDay,./data_dsicap/DorothyDay/raw/452.html.txt,train39
27,DorothyDay,./data_dsicap/DorothyDay/raw/631.html.txt,train15
28,DorothyDay,./data_dsicap/DorothyDay/raw/666.html.txt,train65
29,DorothyDay,./data_dsicap/DorothyDay/raw/385.html.txt,train50
30,DorothyDay,./data_dsicap/DorothyDay/raw/594.html.txt,train23
31,DorothyDay,./data_dsicap/DorothyDay/raw/793.html.txt,train12
32,DorothyDay,./data_dsicap/DorothyDay/raw/863.html.txt,train25
33,DorothyDay,./data_dsicap/DorothyDay/raw/42.html.txt,train40
34,DorothyDay,./data_dsicap/DorothyDay/raw/440.html.txt,train43
35,DorothyDay,./data_dsicap/DorothyDay/raw/214.html.txt,train02
36,DorothyDay,./data_dsicap/DorothyDay/raw/941.html.txt,train43
37,DorothyDay,./data_dsicap/DorothyDay/raw/812.html.txt,train58
38,DorothyDay,./data_dsicap/DorothyDay/raw/13.html.txt,train57
39,DorothyDay,./data_dsicap/DorothyDay/raw/301.html.txt,train03
40,DorothyDay,./data_dsicap/DorothyDay/raw/389.html.txt,train35
41,DorothyDay,./data_dsicap/DorothyDay/raw/574.html.txt,train23
42,DorothyDay,./data_dsicap/DorothyDay/raw/527.html.txt,train07
43,DorothyDay,./data_dsicap/DorothyDay/raw/217.html.txt,train51
44,DorothyDay,./data_dsicap/DorothyDay/raw/583.html.txt,train18
45,DorothyDay,./data_dsicap/DorothyDay/raw/242.html.txt,train21
46,DorothyDay,./data_dsicap/DorothyDay/raw/909.html.txt,test02
47,DorothyDay,./data_dsicap/DorothyDay/raw/651.html.txt,train40
48,DorothyDay,./data_dsicap/DorothyDay/raw/788.html.txt,train33
49,DorothyDay,./data_dsicap/DorothyDay/raw/890.html.txt,train33
50,DorothyDay,./data_dsicap/DorothyDay/raw/658.html.txt,train68
