term,freq,idf,logidf,tfidf,logtfidf
prejudic,23,139.0,4.93447393313,3197.0,113.492900462
spirit,22,104.25,4.64679186068,2293.5,102.229420935
decre,10,139.0,4.93447393313,1390.0,49.3447393313
lamp,10,139.0,4.93447393313,1390.0,49.3447393313
everyon,10,139.0,4.93447393313,1390.0,49.3447393313
must,22,59.5714285714,4.08717607274,1310.57142857,89.9178736003
fate,8,139.0,4.93447393313,1112.0,39.475791465
worship,8,139.0,4.93447393313,1112.0,39.475791465
perfect,8,139.0,4.93447393313,1112.0,39.475791465
tree,8,139.0,4.93447393313,1112.0,39.475791465
p,12,83.4,4.42364830936,1000.8,53.0837797123
craft,7,139.0,4.93447393313,973.0,34.5413175319
fill,7,139.0,4.93447393313,973.0,34.5413175319
spiritu,15,64.1538461538,4.1612840449,962.307692307,62.4192606735
mind,7,119.142857143,4.7803232533,834.000000001,33.4622627731
will,27,30.8888888889,3.43039653635,834.0,92.6207064815
nay,6,139.0,4.93447393313,834.0,29.6068435988
ration,6,139.0,4.93447393313,834.0,29.6068435988
mankind,6,139.0,4.93447393313,834.0,29.6068435988
