term,freq,idf,logidf,tfidf,logtfidf
perfect,25,139.0,4.93447393313,3475.0,123.361848328
we,26,75.8181818182,4.32833812956,1971.27272727,112.536791369
uniti,14,139.0,4.93447393313,1946.0,69.0826350638
p,23,83.4,4.42364830936,1918.2,101.743911115
everyon,13,139.0,4.93447393313,1807.0,64.1481611307
worship,11,139.0,4.93447393313,1529.0,54.2792132644
your,11,139.0,4.93447393313,1529.0,54.2792132644
prophet,11,139.0,4.93447393313,1529.0,54.2792132644
you,20,75.8181818182,4.32833812956,1516.36363636,86.5667625912
imagin,10,139.0,4.93447393313,1390.0,49.3447393313
consent,10,139.0,4.93447393313,1390.0,49.3447393313
parent,23,59.5714285714,4.08717607274,1370.14285714,94.005049673
must,22,59.5714285714,4.08717607274,1310.57142857,89.9178736003
our,23,55.6,4.01818320126,1278.8,92.418213629
mankind,9,139.0,4.93447393313,1251.0,44.4102653982
lamp,9,139.0,4.93447393313,1251.0,44.4102653982
tree,8,139.0,4.93447393313,1112.0,39.475791465
decre,8,139.0,4.93447393313,1112.0,39.475791465
fate,8,139.0,4.93447393313,1112.0,39.475791465
