term,freq,idf,logidf,tfidf,logtfidf
you,58,75.8181818182,4.32833812956,4397.45454546,251.043611514
your,28,139.0,4.93447393313,3892.0,138.165270128
courag,22,139.0,4.93447393313,3058.0,108.558426529
love,43,64.1538461538,4.1612840449,2758.61538461,178.935213931
we,30,75.8181818182,4.32833812956,2274.54545455,129.850143887
faith,40,52.125,3.95364468012,2085.0,158.145787205
talk,14,139.0,4.93447393313,1946.0,69.0826350638
uniti,13,139.0,4.93447393313,1807.0,64.1481611307
p,21,83.4,4.42364830936,1751.4,92.8966144966
realiti,16,104.25,4.64679186068,1668.0,74.3486697709
our,28,55.6,4.01818320126,1556.8,112.509129635
marriag,13,104.25,4.64679186068,1355.25,60.4082941888
spiritu,19,64.1538461538,4.1612840449,1218.92307692,79.0643968531
perfect,8,139.0,4.93447393313,1112.0,39.475791465
spirit,10,104.25,4.64679186068,1042.5,46.4679186068
coupl,7,139.0,4.93447393313,973.0,34.5413175319
promulg,7,139.0,4.93447393313,973.0,34.5413175319
friendship,7,139.0,4.93447393313,973.0,34.5413175319
mankind,7,139.0,4.93447393313,973.0,34.5413175319
