term,freq,idf,logidf,tfidf,logtfidf
thi,42,139.0,4.93447393313,5838.0,207.247905191
thou,35,139.0,4.93447393313,4865.0,172.70658766
my,32,119.142857143,4.7803232533,3812.57142858,152.970344106
we,50,75.8181818182,4.32833812956,3790.90909091,216.416906478
thee,19,139.0,4.93447393313,2641.0,93.7550047295
faith,42,52.125,3.95364468012,2189.25,166.053076565
realiti,18,104.25,4.64679186068,1876.5,83.6422534922
our,33,55.6,4.01818320126,1834.8,132.600045642
ye,13,139.0,4.93447393313,1807.0,64.1481611307
me,12,139.0,4.93447393313,1668.0,59.2136871976
spiritu,25,64.1538461538,4.1612840449,1603.84615385,104.032101123
p,19,83.4,4.42364830936,1584.6,84.0493178778
uniti,10,139.0,4.93447393313,1390.0,49.3447393313
heaven,10,139.0,4.93447393313,1390.0,49.3447393313
you,18,75.8181818182,4.32833812956,1364.72727273,77.9100863321
skin,11,119.142857143,4.7803232533,1310.57142857,52.5835557863
color,14,92.6666666667,4.52900882502,1297.33333333,63.4061235503
prejudic,9,139.0,4.93447393313,1251.0,44.4102653982
your,9,139.0,4.93447393313,1251.0,44.4102653982
