term,freq,idf,logidf,tfidf,logtfidf
allah,151,139.0,4.93447393313,20989.0,745.105563903
you,158,75.8181818182,4.32833812956,11979.2727273,683.87742447
your,80,139.0,4.93447393313,11120.0,394.75791465
wa,47,139.0,4.93447393313,6533.0,231.920274857
hijrah,40,139.0,4.93447393313,5560.0,197.378957325
sallam,38,139.0,4.93447393313,5282.0,187.510009459
ibn,37,139.0,4.93447393313,5143.0,182.575535526
messeng,30,139.0,4.93447393313,4170.0,148.034217994
dabiq,28,139.0,4.93447393313,3892.0,138.165270128
islam,125,26.9032258065,3.29224619787,3362.90322581,411.530774734
inde,24,139.0,4.93447393313,3336.0,118.427374395
my,27,119.142857143,4.7803232533,3216.85714286,129.068727839
fear,23,139.0,4.93447393313,3197.0,113.492900462
will,102,30.8888888889,3.43039653635,3150.66666667,349.900446708
crusad,22,139.0,4.93447393313,3058.0,108.558426529
khilafah,22,139.0,4.93447393313,3058.0,108.558426529
said,73,41.7,3.7305011288,3044.1,272.326582402
prophet,21,139.0,4.93447393313,2919.0,103.623952596
