term,freq,idf,logidf,tfidf,logtfidf
allah,11,139.0,4.93447393313,1529.0,54.2792132644
choic,7,119.142857143,4.7803232533,834.000000001,33.4622627731
bay'ah,5,139.0,4.93447393313,695.0,24.6723696657
deed,5,139.0,4.93447393313,695.0,24.6723696657
methodolog,4,139.0,4.93447393313,556.0,19.7378957325
prophet,4,139.0,4.93447393313,556.0,19.7378957325
rush,4,104.25,4.64679186068,417.0,18.5871674427
bid'ah,3,139.0,4.93447393313,417.0,14.8034217994
dabiq,3,139.0,4.93447393313,417.0,14.8034217994
prais,3,139.0,4.93447393313,417.0,14.8034217994
islam,14,26.9032258065,3.29224619787,376.645161291,46.0914467702
ideolog,4,75.8181818182,4.32833812956,303.272727273,17.3133525182
crusad,2,139.0,4.93447393313,278.0,9.86894786626
ah,2,139.0,4.93447393313,278.0,9.86894786626
choos,2,139.0,4.93447393313,278.0,9.86894786626
afflict,2,139.0,4.93447393313,278.0,9.86894786626
inshā'allah,2,139.0,4.93447393313,278.0,9.86894786626
foreword,2,139.0,4.93447393313,278.0,9.86894786626
kufr,2,139.0,4.93447393313,278.0,9.86894786626
falsehood,2,139.0,4.93447393313,278.0,9.86894786626
ibrāhīm,2,139.0,4.93447393313,278.0,9.86894786626
creed,2,139.0,4.93447393313,278.0,9.86894786626
messeng,2,139.0,4.93447393313,278.0,9.86894786626
nifāq,2,139.0,4.93447393313,278.0,9.86894786626
āt,2,139.0,4.93447393313,278.0,9.86894786626
tree,2,139.0,4.93447393313,278.0,9.86894786626
ob,2,139.0,4.93447393313,278.0,9.86894786626
pollut,2,139.0,4.93447393313,278.0,9.86894786626
burn,2,139.0,4.93447393313,278.0,9.86894786626
inflict,2,139.0,4.93447393313,278.0,9.86894786626
bless,2,139.0,4.93447393313,278.0,9.86894786626
er,2,139.0,4.93447393313,278.0,9.86894786626
khalīfah,2,139.0,4.93447393313,278.0,9.86894786626
ty,2,139.0,4.93447393313,278.0,9.86894786626
propon,2,139.0,4.93447393313,278.0,9.86894786626
khilāfah,2,139.0,4.93447393313,278.0,9.86894786626
pleas,2,139.0,4.93447393313,278.0,9.86894786626
par,2,139.0,4.93447393313,278.0,9.86894786626
ummah,2,139.0,4.93447393313,278.0,9.86894786626
﻿,2,139.0,4.93447393313,278.0,9.86894786626
tri,2,139.0,4.93447393313,278.0,9.86894786626
hijrah,2,139.0,4.93447393313,278.0,9.86894786626
portray,2,139.0,4.93447393313,278.0,9.86894786626
truth,3,83.4,4.42364830936,250.2,13.2709449281
lord,4,55.6,4.01818320126,222.4,16.072732805
muslim,5,43.8947368421,3.78179442319,219.473684211,18.908972116
will,7,30.8888888889,3.43039653635,216.222222222,24.0127757545
nor,2,104.25,4.64679186068,208.5,9.29358372136
if,6,28.7586206897,3.35893757237,172.551724138,20.1536254342
do,7,21.9473684211,3.08864724263,153.631578948,21.6205306984
