term,freq,idf,logidf,tfidf,logtfidf
you,341,75.8181818182,4.32833812956,25854.0,1475.96330218
mind,152,119.142857143,4.7803232533,18109.7142857,726.609134502
yoga,103,139.0,4.93447393313,14317.0,508.250815112
your,99,139.0,4.93447393313,13761.0,488.51291938
medit,84,139.0,4.93447393313,11676.0,414.495810383
we,121,75.8181818182,4.32833812956,9174.0,523.728913677
sutra,28,139.0,4.93447393313,3892.0,138.165270128
want,32,119.142857143,4.7803232533,3812.57142858,152.970344106
our,68,55.6,4.01818320126,3780.8,273.236457686
everyth,26,139.0,4.93447393313,3614.0,128.296322261
whi,25,139.0,4.93447393313,3475.0,123.361848328
get,24,139.0,4.93447393313,3336.0,118.427374395
my,27,119.142857143,4.7803232533,3216.85714286,129.068727839
me,23,139.0,4.93447393313,3197.0,113.492900462
happi,23,139.0,4.93447393313,3197.0,113.492900462
heaven,22,139.0,4.93447393313,3058.0,108.558426529
yourself,21,139.0,4.93447393313,2919.0,103.623952596
clean,20,139.0,4.93447393313,2780.0,98.6894786626
self,19,139.0,4.93447393313,2641.0,93.7550047295
