term,freq,idf,logidf,tfidf,logtfidf
mind,62,119.142857143,4.7803232533,7386.85714287,296.380041705
mantra,34,139.0,4.93447393313,4726.0,167.772113726
yoga,33,139.0,4.93447393313,4587.0,162.837639793
everyth,32,139.0,4.93447393313,4448.0,157.90316586
want,34,119.142857143,4.7803232533,4050.85714286,162.530990612
anyth,24,139.0,4.93447393313,3336.0,118.427374395
get,21,139.0,4.93447393313,2919.0,103.623952596
hear,21,139.0,4.93447393313,2919.0,103.623952596
will,93,30.8888888889,3.43039653635,2872.66666667,319.026877881
clean,19,139.0,4.93447393313,2641.0,93.7550047295
say,33,75.8181818182,4.32833812956,2502.0,142.835158275
if,85,28.7586206897,3.35893757237,2444.48275862,285.509693651
realiz,17,139.0,4.93447393313,2363.0,83.8860568632
should,33,69.5,4.24132675257,2293.5,139.963782835
ask,16,139.0,4.93447393313,2224.0,78.9515829301
spiritu,34,64.1538461538,4.1612840449,2181.23076923,141.483657527
better,18,119.142857143,4.7803232533,2144.57142857,86.0458185594
god,66,32.0769230769,3.46813686434,2117.07692308,228.897033046
medit,15,139.0,4.93447393313,2085.0,74.017108997
