term,freq,idf,logidf,tfidf,logtfidf
jew,70,75.8181818182,4.32833812956,5307.27272727,302.983669069
synagogu,37,139.0,4.93447393313,5143.0,182.575535526
israel,103,49.0588235294,3.8930200583,5053.05882353,400.981066005
jewish,122,36.2608695652,3.59073918643,4423.82608695,438.070180744
jewri,30,139.0,4.93447393313,4170.0,148.034217994
cave,29,139.0,4.93447393313,4031.0,143.099744061
evil,29,139.0,4.93447393313,4031.0,143.099744061
bar,28,139.0,4.93447393313,3892.0,138.165270128
want,32,119.142857143,4.7803232533,3812.57142858,152.970344106
ben,26,139.0,4.93447393313,3614.0,128.296322261
yochai,25,139.0,4.93447393313,3475.0,123.361848328
ask,25,139.0,4.93447393313,3475.0,123.361848328
know,40,83.4,4.42364830936,3336.0,176.945932374
mose,24,139.0,4.93447393313,3336.0,118.427374395
bless,22,139.0,4.93447393313,3058.0,108.558426529
isra,21,139.0,4.93447393313,2919.0,103.623952596
rabbi,20,139.0,4.93447393313,2780.0,98.6894786626
am,22,119.142857143,4.7803232533,2621.14285715,105.167111573
sibl,18,139.0,4.93447393313,2502.0,88.8205307963
