term,freq,idf,logidf,tfidf,logtfidf
bless,22,139.0,4.93447393313,3058.0,108.558426529
jewish,79,36.2608695652,3.59073918643,2864.60869565,283.668395728
jew,36,75.8181818182,4.32833812956,2729.45454546,155.820172664
isra,16,139.0,4.93447393313,2224.0,78.9515829301
jacob,13,139.0,4.93447393313,1807.0,64.1481611307
judaism,13,119.142857143,4.7803232533,1548.85714286,62.1442022929
jerusalem,11,139.0,4.93447393313,1529.0,54.2792132644
assimil,10,139.0,4.93447393313,1390.0,49.3447393313
fear,10,139.0,4.93447393313,1390.0,49.3447393313
nonjewish,9,139.0,4.93447393313,1251.0,44.4102653982
diaspora,9,139.0,4.93447393313,1251.0,44.4102653982
rabbi,9,139.0,4.93447393313,1251.0,44.4102653982
prison,8,139.0,4.93447393313,1112.0,39.475791465
jewri,8,139.0,4.93447393313,1112.0,39.475791465
know,13,83.4,4.42364830936,1084.2,57.5074280217
templ,10,104.25,4.64679186068,1042.5,46.4679186068
night,10,104.25,4.64679186068,1042.5,46.4679186068
rebb,7,139.0,4.93447393313,973.0,34.5413175319
hanukkah,7,139.0,4.93447393313,973.0,34.5413175319
