term,freq,idf,logidf,tfidf,logtfidf
shall,162,139.0,4.93447393313,22518.0,799.384777167
unto,147,139.0,4.93447393313,20433.0,725.36766817
you,158,75.8181818182,4.32833812956,11979.2727273,683.87742447
ie,82,139.0,4.93447393313,11398.0,404.626862517
s,167,64.1538461538,4.1612840449,10713.6923077,694.934435498
hath,76,139.0,4.93447393313,10564.0,375.020018918
god,329,32.0769230769,3.46813686434,10553.3076923,1141.01702837
we,133,75.8181818182,4.32833812956,10083.8181818,575.668971231
lord,178,55.6,4.01818320126,9896.8,715.236609824
me,69,139.0,4.93447393313,9591.0,340.478701386
christ,85,104.25,4.64679186068,8861.25,394.977308158
ye,63,139.0,4.93447393313,8757.0,310.871857787
sermon,62,139.0,4.93447393313,8618.0,305.937383854
wit,117,69.5,4.24132675257,8131.5,496.235230051
say,107,75.8181818182,4.32833812956,8112.54545455,463.132179863
sin,56,139.0,4.93447393313,7784.0,276.330540255
belov,55,139.0,4.93447393313,7645.0,271.396066322
sunday,52,139.0,4.93447393313,7228.0,256.592644523
thou,51,139.0,4.93447393313,7089.0,251.65817059
