term,freq,idf,logidf,tfidf,logtfidf
shall,144,139.0,4.93447393313,20016.0,710.564246371
unto,129,139.0,4.93447393313,17931.0,636.547137374
s,185,64.1538461538,4.1612840449,11868.4615385,769.837548307
god,351,32.0769230769,3.46813686434,11259.0,1217.31603938
you,136,75.8181818182,4.32833812956,10311.2727273,588.65398562
ie,74,139.0,4.93447393313,10286.0,365.151071052
hath,62,139.0,4.93447393313,8618.0,305.937383854
lord,153,55.6,4.01818320126,8506.8,614.782029793
wit,121,69.5,4.24132675257,8409.5,513.200537061
ye,59,139.0,4.93447393313,8201.0,291.133962055
we,108,75.8181818182,4.32833812956,8188.36363637,467.460517992
sermon,58,139.0,4.93447393313,8062.0,286.199488122
say,104,75.8181818182,4.32833812956,7885.09090909,450.147165474
wbc,55,139.0,4.93447393313,7645.0,271.396066322
my,62,119.142857143,4.7803232533,7386.85714287,296.380041705
belov,53,139.0,4.93447393313,7367.0,261.527118456
me,50,139.0,4.93447393313,6950.0,246.723696657
sunday,49,139.0,4.93447393313,6811.0,241.789222723
outlin,48,139.0,4.93447393313,6672.0,236.85474879
