term,freq,idf,logidf,tfidf,logtfidf
unto,109,139.0,4.93447393313,15151.0,537.857658711
fag,101,139.0,4.93447393313,14039.0,498.381867246
shall,89,139.0,4.93447393313,12371.0,439.168180049
s,179,64.1538461538,4.1612840449,11483.5384615,744.869844037
god,311,32.0769230769,3.46813686434,9975.92307692,1078.59056481
lord,138,55.6,4.01818320126,7672.8,554.509281774
sermon,53,139.0,4.93447393313,7367.0,261.527118456
wbc,53,139.0,4.93447393313,7367.0,261.527118456
say,92,75.8181818182,4.32833812956,6975.27272727,398.20710792
thou,48,139.0,4.93447393313,6672.0,236.85474879
wit,95,69.5,4.24132675257,6602.5,402.926041494
sunday,47,139.0,4.93447393313,6533.0,231.920274857
outlin,46,139.0,4.93447393313,6394.0,226.985800924
ie,44,139.0,4.93447393313,6116.0,217.116853058
judg,44,139.0,4.93447393313,6116.0,217.116853058
christ,58,104.25,4.64679186068,6046.5,269.513927919
ye,43,139.0,4.93447393313,5977.0,212.182379125
jeroboam,42,139.0,4.93447393313,5838.0,207.247905191
sin,41,139.0,4.93447393313,5699.0,202.313431258
preach,38,139.0,4.93447393313,5282.0,187.510009459
